20,11,91,-1
86,86,86,6
24,40,43,-1
84,21,-1,-1
42,42,29,-1
83,83,76,76
50,75,-1,-1
77,27,-1,-1
72,72,70,-1
96,96,43,43
6,6,7,7
67,65,65,65
35,35,69,-1
41,35,35,40
57,57,57,42
97,90,90,90
25,47,-1,-1
70,18,-1,-1
51,51,51,51
66,15,69,41
77,29,-1,-1
62,62,62,26
39,39,11,93
23,23,58,-1
15,46,-1,-1
87,7,-1,-1
48,48,79,-1
28,61,61,15
49,88,69,-1
25,91,-1,-1
40,18,18,93
26,26,40,-1
43,43,79,8
16,77,-1,-1
3,3,76,-1
1,1,1,1
15,67,70,-1
93,93,93,93
28,28,67,-1
54,54,54,15
7,14,14,14
16,16,16,16
43,96,43,-1
16,16,8,8
57,96,50,-1
79,79,77,-1
11,32,-1,-1
68,75,90,-1
79,76,-1,-1
16,7,-1,-1
62,62,62,97
1,1,30,-1
39,39,91,-1
0,49,49,65
1,98,-1,-1
24,75,75,-1
20,20,72,21
89,90,90,90
26,67,75,-1
55,75,-1,-1
16,18,-1,-1
35,55,-1,-1
99,59,-1,-1
59,49,-1,-1
4,4,81,44
68,75,-1,-1
10,15,-1,-1
33,33,33,91
91,98,-1,-1
22,75,-1,-1
64,1,-1,-1
44,44,44,15
43,43,15,15
80,73,73,49
54,54,54,54
70,54,-1,-1
39,54,-1,-1
61,19,19,15
53,16,-1,-1
74,74,35,35
35,42,61,-1
43,25,-1,-1
17,73,73,54
38,38,21,21
38,38,46,-1
81,11,11,79
59,59,14,14
98,6,61,-1
74,61,61,36
11,11,11,11
66,98,-1,-1
59,59,59,7
45,79,-1,-1
2,19,83,83
61,61,61,-1
48,48,90,-1
74,74,74,74
84,72,72,4
27,27,8,8
60,14,-1,-1
22,62,-1,-1
54,70,70,70
31,27,-1,-1
96,96,98,-1
53,53,79,79
35,35,40,-1
14,54,11,-1
85,4,-1,-1
85,85,85,85
46,46,46,46
51,19,19,30
99,99,99,0
86,0,0,0
96,44,75,-1
19,19,-1,-1
20,44,47,35
55,55,49,-1
92,92,69,-1
59,59,62,62
69,69,14,88
34,34,32,42
31,1,-1,-1
68,61,-1,-1
84,84,91,6
94,88,-1,-1
72,72,72,14
2,8,-1,-1
48,48,48,48
10,10,84,-1
98,70,-1,-1
87,49,49,65
34,33,-1,-1
65,1,30,49
57,15,15,76
29,29,21,-1
27,27,27,27
55,75,-1,-1
39,39,0,69
11,11,29,29
36,36,36,44
6,70,67,-1
88,47,25,25
62,62,62,-1
49,41,-1,-1
12,12,41,41
9,54,73,73
25,25,33,-1
28,36,42,91
35,40,-1,-1
63,8,8,14
43,18,18,18
93,42,30,98
12,62,-1,-1
38,19,19,19
26,54,-1,-1
28,28,15,-1
77,77,42,93
91,70,54,54
0,67,-1,-1
95,95,58,58
40,93,-1,-1
64,81,81,91
42,33,-1,-1
24,24,24,73
23,62,96,96
31,35,-1,-1
38,30,30,84
85,59,-1,-1
49,49,49,59
54,54,16,-1
74,61,-1,-1
50,59,-1,-1
47,47,73,6
19,91,41,-1
88,72,26,-1
88,88,30,77
23,36,-1,-1
1,65,-1,-1
58,11,42,-1
84,42,-1,-1
62,96,96,96
78,78,78,78
9,67,-1,-1
31,31,27,27
43,43,65,-1
57,57,54,-1
57,7,-1,-1
55,90,90,54
8,3,-1,-1
65,30,30,42
90,90,19,19
30,90,-1,-1
75,90,-1,-1
92,14,14,14
82,82,29,29
53,53,53,53
63,50,-1,-1
10,32,67,-1
24,18,-1,-1
21,21,30,58
49,83,-1,-1
69,69,14,-1
87,87,61,-1
47,96,-1,-1
94,35,59,-1
1,1,98,-1
90,41,41,26
20,20,20,20
6,77,-1,-1
26,98,-1,-1
73,73,3,-1
12,12,43,-1
71,71,71,84
81,50,-1,-1
3,29,29,29
3,3,53,76
58,58,58,70
99,84,76,76
75,75,11,-1
18,55,-1,-1
82,82,90,-1
91,30,-1,-1
7,41,-1,-1
9,9,47,-1
29,1,-1,-1
63,63,59,62
95,95,7,58
87,46,-1,-1
62,16,21,61
93,11,11,11
34,34,47,-1
5,68,68,68
29,14,14,14
65,96,96,44
25,25,76,-1
87,29,7,14
17,72,72,84
33,33,70,8
22,65,-1,-1
54,54,54,3
44,54,54,54
10,35,-1,-1
4,73,73,73
38,38,21,-1
54,54,54,55
74,74,74,74
37,37,4,-1
97,97,14,-1
73,8,73,-1
8,8,61,61
61,61,84,84
22,22,4,-1
70,70,70,75
27,3,47,-1
80,80,80,15
85,68,-1,-1
58,53,6,53
0,0,77,-1
37,37,37,21
91,91,42,42
0,16,-1,-1
92,76,-1,-1
57,54,55,-1
8,8,81,-1
46,46,46,26
64,64,96,96
76,76,32,-1
45,45,49,-1
98,98,16,-1
10,32,69,91
92,92,92,55
52,16,-1,-1
23,4,-1,-1
17,17,55,83
43,1,-1,-1
84,30,-1,-1
58,62,-1,-1
99,83,73,-1
92,11,11,32
64,8,-1,-1
39,39,41,41
27,68,-1,-1
3,3,83,-1
57,7,69,-1
64,64,53,-1
0,27,1,1
80,80,19,-1
7,36,58,21
97,97,97,44
43,6,-1,-1
42,25,25,25
90,59,97,61
32,32,79,-1
46,41,33,88
72,72,72,76
96,96,96,15
62,62,69,62
68,68,79,-1
67,67,67,32
10,35,40,-1
9,18,-1,-1
55,27,27,93
97,96,96,1
64,44,16,-1
6,6,93,93
15,15,43,50
83,81,14,14
19,19,61,-1
93,93,33,-1
87,87,61,-1
16,16,68,-1
33,90,-1,-1
44,44,49,49
31,27,-1,-1
41,41,41,-1
95,55,-1,-1
89,44,-1,-1
22,73,61,3
32,32,30,-1
74,98,98,30
30,32,42,42
62,62,62,62
85,85,85,85
89,90,90,19
1,1,1,96
8,8,58,-1
74,74,74,59
17,91,-1,-1
95,0,-1,-1
57,57,57,57
24,24,98,-1
54,54,54,54
42,73,-1,-1
87,93,93,7
46,46,46,46
22,22,84,84
1,1,43,-1
77,77,11,-1
93,93,93,93
48,73,-1,-1
74,83,0,-1
94,94,1,-1
27,27,43,-1
19,19,19,19
42,73,-1,-1
84,84,84,47
58,58,30,30
84,19,19,19
61,19,-1,-1
20,61,-1,-1
51,51,51,51
57,15,-1,-1
36,26,-1,-1
73,73,8,81
74,74,74,74
96,25,25,25
20,59,68,70
87,21,27,-1
56,73,-1,-1
73,73,73,73
31,31,47,-1
54,42,-1,-1
27,27,27,27
93,93,93,93
5,5,5,5
28,46,-1,-1
76,76,14,14
36,75,75,35
72,72,72,72
12,8,-1,-1
80,80,80,73
78,78,78,19
16,83,83,40
69,72,-1,-1
80,80,80,50
22,3,-1,-1
25,30,-1,-1
12,12,12,79
21,21,6,6
80,80,61,25
71,54,91,91
43,43,83,-1
94,94,94,7
65,65,81,-1
60,65,0,58
37,37,27,-1
78,78,78,78
92,92,55,-1
7,35,-1,-1
97,88,88,47
2,79,-1,-1
99,3,-1,-1
91,77,-1,-1
38,90,-1,-1
81,81,50,-1
89,77,-1,-1
67,67,67,55
77,53,53,53
33,42,-1,-1
73,98,7,7
49,49,33,-1
1,1,98,59
93,14,14,14
38,65,-1,-1
75,50,-1,-1
79,18,-1,-1
30,47,47,40
94,94,30,21
17,59,-1,-1
72,27,-1,-1
27,27,61,11
30,16,16,58
94,94,14,-1
56,68,-1,-1
96,93,93,54
81,81,11,-1
41,16,-1,-1
64,65,65,27
56,56,73,-1
76,58,-1,-1
47,77,14,14
72,72,72,44
48,58,-1,-1
12,21,15,15
54,54,70,7
43,79,-1,-1
38,11,-1,-1
93,93,69,-1
64,64,21,33
27,68,68,-1
33,33,33,33
50,59,-1,-1
51,51,1,-1
69,69,75,-1
9,53,-1,-1
88,88,77,72
69,6,6,70
72,79,79,79
9,3,3,30
58,58,58,50
23,91,-1,-1
88,88,72,-1
37,37,37,58
65,50,43,-1
65,81,-1,-1
63,96,88,-1
71,77,-1,-1
22,22,69,69
69,27,72,-1
52,0,65,65
51,3,-1,-1
53,53,72,72
91,42,-1,-1
63,63,63,63
17,59,-1,-1
59,18,18,4
10,44,-1,-1
66,75,-1,-1
2,2,61,-1
86,83,7,7
54,54,54,70
19,91,-1,-1
47,47,69,73
67,40,-1,-1
89,42,11,-1
0,18,-1,-1
68,21,-1,-1
94,21,-1,-1
12,6,-1,-1
78,78,77,97
63,63,8,-1
68,68,79,50
79,79,41,-1
38,15,15,53
6,6,6,27
93,93,93,68
13,13,96,-1
47,47,25,62
68,97,-1,-1
92,42,-1,-1
65,65,65,4
53,47,32,-1
9,0,0,73
17,96,0,-1
13,13,13,0
